Player,Team,Position,Salary,Minutes,Max Minutes,MIN_CUM_AVG,MIN_LAST_3_AVG,MIN_LAST_5_AVG,MIN_LAST_10_AVG,MIN_TREND,MIN_CONSISTENCY,MIN_CONSISTENCY_SCORE,MIN_ABOVE_20,MIN_ABOVE_25,MIN_ABOVE_30,MIN_ABOVE_AVG_STREAK,FREQ_ABOVE_20,FREQ_ABOVE_25,FREQ_ABOVE_30,Projected Pts,DK,DK_CUM_AVG,DK_LAST_3_AVG,DK_LAST_5_AVG,DK_LAST_10_AVG,DK_TREND,DK_TREND_5,DK_CONSISTENCY,PTS_LAST_3_AVG,PTS_LAST_5_AVG,PTS_LAST_10_AVG,REB_LAST_3_AVG,REB_LAST_5_AVG,REB_LAST_10_AVG,AST_LAST_3_AVG,AST_LAST_5_AVG,AST_LAST_10_AVG,PTS_CUM_AVG,REB_CUM_AVG,AST_CUM_AVG,PTS_PER_MIN,REB_PER_MIN,AST_PER_MIN,SCORING_EFFICIENCY,RECENT_SCORING_EFF,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS,PLUS_MINUS_PER_MIN,PLUS MINUS_LAST_3_AVG,PLUS MINUS_LAST_5_AVG,PLUS MINUS_LAST_10_AVG,PLUS MINUS_CUM_AVG,PLUS MINUS_TREND,PLUS MINUS_CONSISTENCY,PTS_TREND,REB_TREND,AST_TREND,PTS_CONSISTENCY,REB_CONSISTENCY,AST_CONSISTENCY,TEAM_MIN_PERCENTAGE,TEAM_PROJ_RANK,PTS_VS_TEAM_AVG,REB_VS_TEAM_AVG,AST_VS_TEAM_AVG,MIN_VS_TEAM_AVG,ROLE_CHANGE_3_10,ROLE_CHANGE_5_10,IS_TOP_3_PROJ,LOW_MIN_TOP_PLAYER,GAME_DATE,IS_HOME,IS_B2B,DAYS_REST,MATCHUP,WL,BLOWOUT_GAME,STL,BLK,TOV,OREB,DREB,PF,PLAYER_ID,TEAM_ID,TEAM_NAME,GAME_ID,SEASON_ID,VIDEO_AVAILABLE
Bennedict Mathurin,IND,SF,5200,26.0,40.0,31.49,27.333,25.8,26.4,0.0,3.806,0.144,1.0,0.0,0.0,0.0,1.0,0.4,0.2,22.142500000000002,22.0,26.933,27.2,23.44,24.07,0.0,0.78,7.76,17.667,15.8,15.5,6.0,4.2,4.1,2.0,1.2,1.3,16.347,5.735,1.816,0.64,0.2,0.0,0.64,0.649,0.417,0.333,1.0,5.0,12.0,1.0,3.0,5.0,5.0,-10.0,-0.4,-2.333,-6.4,-4.9,1.163,0.0,11.07,0.0,0.0,0.0,5.836,2.079,1.418,10.417,4.0,1.368,1.316,0.0,1.042,0.933,0.6,0.0,0.0,2025-02-08,0.0,0.0,2.0,IND @ LAL,L,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1631097.0,1610612754.0,Indiana Pacers,22400742.0,22024.0,1.0
Ausar Thompson,DET,SF/PF,5100,26.0,40.0,20.645,25.667,24.8,24.0,1.0,3.367,0.14,1.0,0.0,0.0,6.0,0.8,0.3,0.0,26.4155,35.6,22.432,34.767,32.4,27.93,1.0,3.36,7.73,14.0,13.4,11.1,8.0,7.0,5.4,4.333,4.0,2.5,8.806,5.065,1.935,0.696,0.348,0.174,0.696,0.553,0.778,0.0,0.4,7.0,9.0,0.0,0.0,2.0,5.0,2.0,0.087,3.0,3.6,1.3,-0.903,1.0,6.848,1.0,1.0,1.0,5.705,2.413,1.841,9.544,3.0,1.429,1.739,1.29,0.954,1.667,0.8,1.0,1.0,2025-02-09,1.0,0.0,2.0,DET vs. CHA,W,0.0,2.0,0.0,2.0,5.0,3.0,4.0,1641709.0,1610612765.0,Detroit Pistons,22400752.0,22024.0,1.0
Nick Richards,PHX,C,5100,23.0,40.0,22.03,22.0,21.8,23.4,0.0,4.326,0.185,1.0,0.0,0.0,0.0,0.8,0.1,0.1,24.5775,18.8,23.567,24.6,21.44,24.01,0.0,-3.78,12.403,7.667,5.2,8.1,9.667,9.2,10.8,0.0,0.4,0.5,8.879,8.515,1.061,0.227,0.409,0.0,0.227,0.345,0.25,0.0,0.75,1.0,4.0,0.0,0.0,3.0,4.0,-14.0,-0.636,-11.333,-13.6,-3.8,-3.545,0.0,13.935,0.0,1.0,0.0,5.763,4.849,0.707,9.244,2.0,0.571,2.512,0.0,1.109,1.4,1.6,1.0,1.0,2025-02-08,1.0,1.0,1.0,PHX vs. DEN,L,0.0,0.0,1.0,0.0,4.0,5.0,3.0,1630208.0,1610612756.0,Phoenix Suns,22400749.0,22024.0,1.0
Thomas Bryant,IND,C,5000,15.0,40.0,14.371,22.0,21.2,18.1,1.0,5.859,0.324,1.0,0.0,0.0,6.0,0.3,0.2,0.0,15.745000000000001,28.6,15.491,26.067,23.46,19.83,1.0,2.44,7.471,10.0,8.8,8.4,7.0,5.8,4.9,3.333,2.6,1.7,6.486,3.886,0.971,0.565,0.348,0.174,0.565,0.442,0.6,0.333,0.0,6.0,10.0,1.0,3.0,0.0,0.0,13.0,0.565,3.333,1.6,3.4,2.486,0.0,10.233,1.0,1.0,1.0,4.006,2.726,1.418,9.583,6.0,1.111,2.105,1.481,0.958,3.9,3.1,0.0,0.0,2025-02-08,0.0,0.0,2.0,IND @ LAL,L,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1628418.0,1610612754.0,Indiana Pacers,22400742.0,22024.0,1.0
Royce ONeale,PHX,SF/PF,5000,30.0,40.0,25.522,29.667,27.2,25.7,1.0,6.36,0.247,1.0,1.0,0.0,4.0,0.8,0.5,0.2,29.065499999999997,14.4,22.146,24.5,24.18,19.63,1.0,0.0,10.383,13.0,11.6,8.5,3.333,3.4,3.4,2.333,2.6,1.9,9.435,5.022,2.109,0.3,0.067,0.067,0.3,0.44,0.333,0.375,0.0,3.0,9.0,3.0,8.0,0.0,0.0,-20.0,-0.667,-14.0,-7.2,-2.4,-1.087,0.0,12.474,1.0,0.0,1.0,5.148,1.174,1.792,12.605,4.0,1.029,0.558,0.96,1.513,3.967,1.5,0.0,0.0,2025-02-08,1.0,1.0,1.0,PHX vs. DEN,L,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1626220.0,1610612756.0,Phoenix Suns,22400749.0,22024.0,1.0
Lonzo Ball,CHI,PG/SG,4900,0.0,0.0,21.533,27.333,26.0,25.3,1.0,1.947,0.077,1.0,1.0,0.0,12.0,1.0,0.3,0.0,0.0,15.0,21.187,18.967,20.86,22.57,0.0,-1.56,5.203,7.667,10.0,9.0,4.0,3.8,4.1,3.0,2.6,3.1,7.167,3.433,3.467,0.172,0.172,0.069,0.172,0.279,0.222,0.143,0.0,2.0,9.0,1.0,7.0,0.0,0.0,6.0,0.207,0.333,-1.0,1.4,2.367,0.0,8.181,1.0,1.0,0.0,4.19,1.524,1.729,11.983,5.0,0.376,1.163,0.571,1.198,2.033,0.7,0.0,0.0,2025-02-04,1.0,0.0,2.0,CHI vs. MIA,W,0.0,1.0,0.0,2.0,1.0,4.0,2.0,1628366.0,1610612741.0,Chicago Bulls,22400714.0,22024.0,1.0
Grayson Allen,PHX,SG/SF,4900,29.0,40.0,25.119,33.333,29.2,27.9,1.0,4.483,0.161,1.0,1.0,1.0,3.0,1.0,0.6,0.2,26.6475,47.4,21.048,29.3,26.88,23.88,1.0,4.5,10.823,13.667,11.0,11.0,4.0,4.4,4.4,3.667,4.0,2.8,11.071,3.452,2.048,0.583,0.194,0.167,0.583,0.402,0.368,0.5,0.0,7.0,19.0,7.0,14.0,0.0,0.0,12.0,0.333,0.0,2.2,1.8,0.571,1.0,10.591,0.0,1.0,1.0,5.121,1.955,2.251,13.585,2.0,1.556,1.429,1.935,1.358,5.433,1.3,1.0,1.0,2025-02-07,1.0,0.0,2.0,PHX vs. UTA,W,0.0,2.0,1.0,0.0,2.0,5.0,2.0,1628960.0,1610612756.0,Phoenix Suns,22400740.0,22024.0,1.0
Jonathan Mogbo,TOR,C,4900,30.0,40.0,17.275,26.0,23.4,15.4,1.0,10.167,0.66,1.0,1.0,1.0,4.0,0.3,0.2,0.1,27.483499999999996,31.7,15.753,25.733,18.9,13.27,1.0,5.1,11.47,10.0,7.6,4.9,5.333,4.0,3.1,2.667,1.8,1.1,5.425,4.2,1.625,0.323,0.194,0.097,0.323,0.402,0.3,0.0,0.8,3.0,10.0,0.0,6.0,4.0,5.0,-10.0,-0.323,-5.333,-4.8,-4.2,-3.95,0.0,6.303,1.0,0.0,1.0,3.9,2.47,1.197,13.025,8.0,1.149,1.25,1.579,1.303,10.6,8.0,0.0,0.0,2025-02-09,0.0,0.0,2.0,TOR @ HOU,L,0.0,0.0,4.0,2.0,0.0,6.0,5.0,1642367.0,1610612761.0,Toronto Raptors,22400753.0,22024.0,1.0
Matas Buzelis,CHI,PF,4800,30.0,40.0,14.549,29.667,28.2,21.9,1.0,7.578,0.346,1.0,1.0,0.0,7.0,0.6,0.5,0.1,29.695000000000004,31.3,13.229,33.067,28.74,20.35,1.0,2.3,10.874,18.0,15.6,11.3,3.667,4.2,4.0,2.0,1.4,0.9,6.157,2.863,0.529,0.552,0.138,0.172,0.552,0.603,0.6,0.333,0.75,6.0,10.0,1.0,3.0,3.0,4.0,-18.0,-0.621,-12.333,-4.4,-3.7,-0.314,0.0,12.239,1.0,1.0,1.0,6.093,1.333,1.595,12.033,6.0,1.73,1.548,2.5,1.444,7.767,6.3,0.0,0.0,2025-02-08,1.0,0.0,3.0,CHI vs. GSW,L,0.0,1.0,1.0,3.0,0.0,4.0,3.0,1641824.0,1610612741.0,Chicago Bulls,22400745.0,22024.0,1.0
Zach Edey,MEM,C,4800,20.0,40.0,20.711,21.0,19.8,20.8,0.0,4.541,0.218,0.0,0.0,0.0,0.0,0.4,0.1,0.0,24.210000000000004,13.4,24.408,32.567,27.96,28.12,1.0,-2.96,14.004,11.333,10.6,10.3,10.333,8.8,8.6,1.0,1.6,1.2,9.737,7.632,0.974,0.385,0.154,0.0,0.385,0.515,0.667,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,-5.0,-0.385,17.333,8.4,7.5,4.895,1.0,16.808,1.0,1.0,1.0,5.519,4.551,1.229,5.394,4.0,0.625,0.7,0.0,0.755,0.2,1.0,0.0,0.0,2025-02-08,1.0,0.0,3.0,MEM vs. OKC,L,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1641744.0,1610612763.0,Memphis Grizzlies,22400746.0,22024.0,1.0
